Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
set-dorado-negro,Set Dorado Negro,"<p>Elaborado con materiales de alta calidad y un diseño elegante. Su tamaño es adecuado para distintos usos en eventos o reuniones. El alquiler requiere una cantidad mínima y se ofrece por un período estándar, con opción a extensión. La recogida se realiza localmente según la disponibilidad de la tienda.</p>",La Mesa de Nora,Uncategorized,CUBIERTOS,"Cubiertos, wk_booking",true,CARACTERÍSTICAS,Tenedor Principal 22 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_postre_negro.jpg?v=1752855274,1,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,false,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_pescado_negro.jpg?v=1752855274,kg,,,active
set-dorado-negro,,,,,,,,,Tenedor Entrada 18.3 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_sopa_negro.jpg?v=1752855274,2,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_carne_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Tenedor de Postre 14 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_TE_negro.jpg?v=1752855274,3,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_postre_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Cuchillo Principal 22.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_carne_negro.jpg?v=1752855274,4,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_pescado_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Cuchillo Entrada 20 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_mantequilla_negro.jpg?v=1752855274,5,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_carne_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Cuchillo Mantequillero 17.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_pescado_negro.jpg?v=1752855274,6,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_mantequilla_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Cuchara Sopera 21.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_carne_negro.jpg?v=1752855274,7,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_sopa_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Cuchara Postre 17.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_pescado_negro.jpg?v=1752855274,8,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_postre_negro.jpg?v=1752855274,kg,,,
set-dorado-negro,,,,,,,,,Cuchara Café 12.7 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_postre_negro.jpg?v=1752855274,9,Set Dorado Negro - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_TE_negro.jpg?v=1752855274,kg,,,
set-dorado-blanco,Set Dorado Blanco,"<p>Elaborado con materiales de alta calidad y un diseño elegante. Su tamaño es adecuado para distintos usos en eventos o reuniones. El alquiler requiere una cantidad mínima y se ofrece por un período estándar, con opción a extensión. La recogida se realiza localmente según la disponibilidad de la tienda.</p>",La Mesa de Nora,Uncategorized,CUBIERTOS,"Cubiertos, wk_booking",true,CARACTERÍSTICAS,Tenedor Principal 22 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_postre_blanco.jpg?v=1752855275,1,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,false,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_pescado_blanco.jpg?v=1752855275,kg,,,active
set-dorado-blanco,,,,,,,,,Tenedor Entrada 18.3 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_sopa_blanco.jpg?v=1752855275,2,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_carne_blanco.jpg?v=1752855275,kg,,,
set-dorado-blanco,,,,,,,,,Tenedor de Postre 14 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_TE_blanco.jpg?v=1752855275,3,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_postre_blanco.jpg?v=1752855275,kg,,,
set-dorado-blanco,,,,,,,,,Cuchillo Principal 22.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_carne_blanco.jpg?v=1752855275,4,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_pescado_blanco.jpg?v=1752855275,kg,,,
set-dorado-blanco,,,,,,,,,Cuchillo Entrada 20 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_mantequilla_blanco.jpg?v=1752855275,5,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_carne_blanco.jpg?v=1752855275,kg,,,
set-dorado-blanco,,,,,,,,,Cuchillo Mantequillero 17.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_pescado_blanco.jpg?v=1752855275,6,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchillo_mantequilla_blanco.jpg?v=1752855275,kg,,,
set-dorado-blanco,,,,,,,,,Cuchara Sopera 21.5 cm,,,,,,,,,0.0,,0,deny,manual,1000,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_tenedor_carne_blanco.jpg?v=1752855275,7,Set Dorado Blanco - CUBIERTOS - La Mesa de Nora,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4294/5123/files/cubierto_cuchara_sopa_blanco.jpg?v=1752855275,kg,,,
